model,context_target,context_length,nominal_budget,effective_budget,effective_tokens,iso_condition,quant_bits,quant_byte_cost,physical_byte_cost,arm,arm_label,protection,eviction,promotion,promotion_id,full_fraction,recency_window,sink,seed,accuracy,k,n_turns,n_full,n_quant,bytes,n_protected_lines,oracle_oversubscribed,dormancy_events,dormancy_max_run,quant_calls,quant_violations,quant_max_levels
Qwen/Qwen2.5-1.5B-Instruct,1029,1038,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,44,0.0,0,6,128,129,160.25,9,False,0,0,6944,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1024,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,45,0.0,0,6,128,129,160.25,9,False,0,0,3080,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1025,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,46,0.0,0,6,128,129,160.25,9,False,0,0,728,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1022,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,47,0.0,0,6,128,129,160.25,9,False,0,0,560,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1031,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,48,0.0,0,6,128,129,160.25,9,False,0,0,1176,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1034,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,49,0.0,0,6,128,129,160.25,9,False,0,0,784,0,8
Qwen/Qwen2.5-1.5B-Instruct,2048,2034,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,0,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2049,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,1,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2041,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,2,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2048,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,3,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2041,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,4,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2039,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,5,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2038,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,6,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2046,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,7,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2044,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,8,0.0,0,6,293,0,293.0,0,False,1,1,0,0,0
Qwen/Qwen2.5-1.5B-Instruct,2048,2052,293,293,293,iso_token,4,0.25,0.25,1,none/permanent,none,permanent,attention,P1,0.5,64,1,9,0.0,0,6,293,0,293.0,0,False,2,1,0,0,0
